ecosystem	name	declared	resolved	latest_stable	impact	source
maven	dev.mccue:guava-base	${guava.version}	33.4.0	33.4.0	C/B: latest shodná; není com.google.guava:guava, nezaměnit podle názvu.	https://repo.maven.apache.org/maven2/dev/mccue/guava-base/maven-metadata.xml
maven	org.web3j:crypto	${web3j.version}	5.0.1	6.0.0	C/J: major6; i5.0.3 mění Jackson v širším Web3j; ověřit konkrétní crypto graph + vectors.	https://repo.maven.apache.org/maven2/org/web3j/crypto/maven-metadata.xml
maven	io.micrometer:micrometer-registry-prometheus	Spring Boot BOM	1.15.6	1.17.1	B: přenechat Boot BOM1.15/1.16/1.17, ne pin latest na Boot3.	https://repo.maven.apache.org/maven2/io/micrometer/micrometer-registry-prometheus/maven-metadata.xml
maven	com.fasterxml.jackson.datatype:jackson-datatype-jsr310	Spring Boot BOM	2.19.4	2.22.2	J: Jackson2 BOM; Jackson3 obsahuje Java time v databind, přehodnotit artifact.	https://repo.maven.apache.org/maven2/com/fasterxml/jackson/datatype/jackson-datatype-jsr310/maven-metadata.xml
maven	io.github.mweirauch:micrometer-jvm-extras	${micrometer-extras.version}	0.2.2	0.3.0	B:0.3.0 změna0.x, test binder a názvy metrik; changelog detail neověřen.	https://repo.maven.apache.org/maven2/io/github/mweirauch/micrometer-jvm-extras/maven-metadata.xml
maven	com.bucket4j:bucket4j_jdk17-core	${bucket4j.version}	8.15.0	8.19.0	B:8.19.0, otestovat rate-limit refill, 429 a clock; zachovat JDK17 variantu.	https://repo.maven.apache.org/maven2/com/bucket4j/bucket4j_jdk17-core/maven-metadata.xml
maven	org.mapstruct:mapstruct	${mapstruct.version}	1.6.3	1.6.3	B:1.6.3 je stále stable;1.7 Beta do návrhu produkce nepatří.	https://repo.maven.apache.org/maven2/org/mapstruct/mapstruct/maven-metadata.xml
maven	org.springframework.boot:spring-boot-maven-plugin	Spring Boot BOM	3.5.8	4.1.1	B: mezikrok3.5.16, poté4.0.8/4.1.1; BOM a modulární starters společně.	https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-maven-plugin/maven-metadata.xml
maven	org.apache.maven.plugins:maven-compiler-plugin	${maven.compiler.version}	3.14.0	3.15.0	P/B: stable3.15.0 pro Maven3;4.0-beta není stable update.	https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/maven-metadata.xml
maven	org.liquibase:liquibase-maven-plugin	${liquibase.version}	5.0.1	5.0.4	DB: současně core/extension; opravit starou naming strategy v referenceUrl.	https://repo.maven.apache.org/maven2/org/liquibase/liquibase-maven-plugin/maven-metadata.xml
maven	com.mycila:license-maven-plugin	${license-maven-plugin.version}	4.6	5.1.2	P: major5.1.2; ověřit konfiguraci check, žádné automatické format v tomto review.	https://repo.maven.apache.org/maven2/com/mycila/license-maven-plugin/maven-metadata.xml
maven	org.openapitools:openapi-generator-maven-plugin	7.17.0	7.17.0	7.25.0	K/B:7.25.0; nově generované Java HTTP interfaces a modely diff; Boot4 options ověřit.	https://repo.maven.apache.org/maven2/org/openapitools/openapi-generator-maven-plugin/maven-metadata.xml
maven	org.projectlombok:lombok-mapstruct-binding	${lombok-mapstruct-binding.version}	0.2.0	0.2.0	B:latest0.2.0 beze změny; musí zůstat vedle Lombok procesoru.	https://repo.maven.apache.org/maven2/org/projectlombok/lombok-mapstruct-binding/maven-metadata.xml
maven	org.mapstruct:mapstruct-processor	${mapstruct.version}	1.6.3	1.6.3	B:držet stejnou1.6.3 jako mapstruct API.	https://repo.maven.apache.org/maven2/org/mapstruct/mapstruct-processor/maven-metadata.xml
